original_term	cleaned_term	term_type	eadid_term_source
Duke University. Department of Classical Studies	new_term	corpname	uapepplercharleswilliam
Personal narratives	new_term	subject	uapridgenfamily
Woodworking tools	new_term	subject	uapridgenfamily
Pridgen, Linton.	new_term	persname	uapridgenfamily
Pridgen, Lorraine.	new_term	persname	uapridgenfamily
Pridgen family.	new_term	famname	uapridgenfamily
Durham (N.C.) -- History -- 20th century	new_term	geogname	uapridgenfamily
Personal narratives	new_term	subject	uarobbinscecilw
Robbins, Cecil W.	new_term	persname	uarobbinscecilw
Magie, David.	new_term	persname	uarogersrobertsamuel
Rogers, Robert Samuel, -1968	new_term	persname	uarogersrobertsamuel
Syme, Ronald, 1903-1989	new_term	persname	uarogersrobertsamuel
Willis, William H.	new_term	persname	uarogersrobertsamuel
Duke University. Department of Classical Studies	new_term	corpname	uarogersrobertsamuel
Luvaas, Jay.	new_term	persname	uaropptheodore
Ropp, Theodore, 1911-2000	new_term	persname	uaropptheodore
Personal narratives	new_term	subject	uaroyrobertc
Roy, Robert C.	new_term	persname	uaroyrobertc
Wannamaker, William Hane, 1873-	new_term	persname	uaroyrobertc
Trinity College (Durham, N.C.) -- History -- 20th century	new_term	corpname	uaroyrobertc
Trinity College (Durham, N.C.) -- Alumni and alumnae	new_term	corpname	uaroyrobertc
Secrest, E. L.	new_term	persname	uasecrestel
Duke University -- Alumni and alumnae	new_term	corpname	uasecrestel
Trinity College (Durham, N.C.) -- Alumni and alumnae	new_term	corpname	uasecrestel
Seeman, Ernest, 1886-1979	new_term	persname	uaseemanernest
Duke family -- Public opinion.	new_term	famname	uaseemanernest
Duke University -- Public opinion	new_term	corpname	uaseemanernest
Arnold, Dean E., 1942-	new_term	persname	uashryockrichardharrison
Boyd, William K. (William Kenneth), 1879-1938	new_term	persname	uashryockrichardharrison
Laprade, William Thomas, 1883-1975	new_term	persname	uashryockrichardharrison
Rowland, Dunbar, 1864-1937	new_term	persname	uashryockrichardharrison
Shryock, Richard Harrison, 1893-1972	new_term	persname	uashryockrichardharrison
Duke University -- Faculty	new_term	corpname	uashryockrichardharrison
Duke University -- History -- 20th century	new_term	corpname	uashryockrichardharrison
Greek letter societies	new_term	subject	uasigmachifraternitybetalambdachapterdukeuniversity
Greek letter societies -- North Carolina -- Durham	new_term	subject	uasigmachifraternitybetalambdachapterdukeuniversity
Duke University -- Societies, etc	new_term	corpname	uasigmachifraternitybetalambdachapterdukeuniversity
Duke University -- Students -- Societies, etc	new_term	corpname	uasigmachifraternitybetalambdachapterdukeuniversity
Sigma Chi Fraternity.	new_term	corpname	uasigmachifraternitybetalambdachapterdukeuniversity
Sigma Chi Fraternity. Beta Lambda Chapter (Duke University)	new_term	corpname	uasigmachifraternitybetalambdachapterdukeuniversity
Trinity College (Durham, N.C.) -- Students -- Societies, etc	new_term	corpname	uasigmachifraternitybetalambdachapterdukeuniversity
Architecture -- North Carolina -- Durham -- History -- 20th century	new_term	subject	uaspillerroberternest
Spiller, Robert Ernest, 1896-1988	new_term	persname	uaspillerroberternest
Duke University -- History -- 20th century	new_term	corpname	uaspillerroberternest
Thigpen, Richard Elton, 1900-	new_term	persname	uathigpenrichardelton
Duke University. Nixon Library Controversy	new_term	corpname	uathigpenrichardelton
Trinity College (Durham, N.C.) -- Alumni and alumnae	new_term	corpname	uathigpenrichardelton
Trinity College (Durham, N.C.) -- Students	new_term	corpname	uathigpenrichardelton
Trinity College (Durham, N.C.). Hesperian Literary Society	new_term	corpname	uathigpenrichardelton
Tsʻao family.	new_term	famname	uatsaofamily
Duke University -- Students	new_term	corpname	uatsaofamily
Duke University -- Alumni and alumnae	new_term	corpname	uatsaofamily
Powell, Benjamin E. (Benjamin Edward), 1905-1981	new_term	persname	uaturrentinewalterwilliam
Turrentine, Walter William, 1901-	new_term	persname	uaturrentinewalterwilliam
Trinity College (Durham, N.C.). Band	new_term	corpname	uaturrentinewalterwilliam
Duke University. Board of Trustees.	new_term	corpname	uawadecharlesb
Lanson, Gustave, 1857-1934 -- Library.	new_term	persname	uawebbalbertmicajah
Webb, Albert Micajah, 1877-1965	new_term	persname	uawebbalbertmicajah
Duke University -- Faculty	new_term	corpname	uawebbalbertmicajah
Duke University. Department of Romance Languages	new_term	corpname	uawebbalbertmicajah
South Atlantic Publishing Company.	new_term	corpname	uawebbalbertmicajah
Gresham, Diane.	new_term	persname	uawhitfordwilliamedward
Harward, Stephen.	new_term	persname	uawhitfordwilliamedward
Huestis, Charles B., 1920-	new_term	persname	uawhitfordwilliamedward
Whitford, William Edward, 1902-1984	new_term	persname	uawhitfordwilliamedward
Duke University -- History -- 20th century	new_term	corpname	uawhitfordwilliamedward
Duke University -- Alumni and alumnae	new_term	corpname	uawhitfordwilliamedward
Wolfe, James Jacob, 1875-1920	new_term	persname	uawolfejamesjacob
Duke University. Department of Biology -- Faculty	new_term	corpname	uawolfejamesjacob
Sermons, American -- 19th century	new_term	subject	uawombleeugenew
Spurgeon, C. H. (Charles Haddon), 1834-1892	new_term	persname	uawombleeugenew
Womble, Eugene W.	new_term	persname	uawombleeugenew
Trinity College (Randolph County, N.C.)	new_term	corpname	uawombleeugenew
Wright, Isaiah L.	new_term	persname	uawrightisaiahl
Normal College (Randolph County, N.C.) -- History	new_term	corpname	uawrightisaiahl
Normal College (Randolph County, N.C.) -- Students	new_term	corpname	uawrightisaiahl
